Scenarios,Production TRUNC,degree trun,distance,height,section
scenario 1027,97%,36,200%,70%,80%
scenario 1028,97%,38,200%,80%,80%
scenario 1029,97%,40,200%,90%,80%
scenario 1030,97%,41,200%,100%,80%
scenario 1031,97%,48,200%,150%,80%
scenario 1032,93%,54,200%,200%,80%
scenario 1033,92%,58,200%,250%,80%
scenario 1034,91%,62,200%,300%,80%
scenario 1042,98%,16,200%,0,60%
scenario 1043,98%,19,200%,10%,60%
scenario 1044,98%,21,200%,20%,60%
scenario 1045,98%,24,200%,30%,60%
scenario 1046,97%,26,200%,40%,60%
scenario 1047,97%,28,200%,50%,60%
scenario 1048,97%,30,200%,60%,60%
scenario 1049,97%,33,200%,70%,60%
scenario 1050,97%,34,200%,80%,60%
scenario 1051,97%,36,200%,90%,60%
scenario 1052,97%,38,200%,100%,60%
scenario 1053,94%,46,200%,150%,60%
scenario 1054,93%,52,200%,200%,60%
scenario 1055,92%,57,200%,250%,60%
scenario 1056,91%,60,200%,300%,60%
scenario 1064,98%,11,200%,0,40%
scenario 1065,98%,14,200%,10%,40%
scenario 1066,97%,16,200%,20%,40%
scenario 1067,97%,19,200%,30%,40%
scenario 1068,97%,21,200%,40%,40%
scenario 1069,97%,24,200%,50%,40%
scenario 1070,97%,26,200%,60%,40%
scenario 1071,97%,28,200%,70%,40%
scenario 1072,97%,30,200%,80%,40%
scenario 1073,97%,33,200%,90%,40%
scenario 1074,97%,34,200%,100%,40%
scenario 1075,94%,43,200%,150%,40%
scenario 1076,92%,50,200%,200%,40%
scenario 1077,91%,55,200%,250%,40%
scenario 1078,91%,59,200%,300%,40%
scenario 1086,97%,5,200%,0,20%
scenario 1087,97%,8,200%,10%,20%
scenario 1088,97%,11,200%,20%,20%
scenario 1089,97%,14,200%,30%,20%
scenario 1090,97%,16,200%,40%,20%
scenario 1091,97%,19,200%,50%,20%
scenario 1092,97%,21,200%,60%,20%
scenario 1093,97%,24,200%,70%,20%
scenario 1094,97%,26,200%,80%,20%
scenario 1095,96%,28,200%,90%,20%
scenario 1096,95%,30,200%,100%,20%
scenario 1097,93%,40,200%,150%,20%
scenario 1098,92%,47,200%,200%,20%
scenario 1099,91%,53,200%,250%,20%
scenario 1100,91%,57,200%,300%,20%
