Scenarios,Production TRUNC,degree trun,distance,height,section
scenario 210,62%,56,40%,40%,20%
scenario 211,62%,60,40%,50%,20%
scenario 212,62%,63,40%,60%,20%
scenario 213,62%,66,40%,70%,20%
scenario 214,62%,68,40%,80%,20%
scenario 215,62%,70,40%,90%,20%
scenario 216,61%,71,40%,100%,20%
scenario 217,61%,76,40%,150%,20%
scenario 218,61%,79,40%,200%,20%
scenario 219,61%,81,40%,250%,20%
scenario 220,61%,82,40%,300%,20%
scenario 228,95%,59,60%,0%,100%
scenario 229,94%,61,60%,10%,100%
scenario 230,93%,63,60%,20%,100%
scenario 231,91%,65,60%,30%,100%
scenario 232,86%,66,60%,40%,100%
scenario 233,82%,68,60%,50%,100%
scenario 234,79%,69,60%,60%,100%
scenario 235,78%,70,60%,70%,100%
scenario 236,76%,71,60%,80%,100%
scenario 237,75%,72,60%,90%,100%
scenario 238,74%,73,60%,100%,100%
scenario 239,74%,76,60%,150%,100%
scenario 240,73%,78,60%,200%,100%
scenario 241,73%,80,60%,250%,100%
scenario 242,72%,81,60%,300%,100%
scenario 250,94%,53,60%,0%,80%
scenario 251,93%,56,60%,10%,80%
scenario 252,91%,59,60%,20%,80%
scenario 253,86%,61,60%,30%,80%
scenario 254,82%,63,60%,40%,80%
scenario 255,79%,65,60%,50%,80%
scenario 256,78%,66,60%,60%,80%
scenario 257,76%,68,60%,70%,80%
scenario 258,75%,69,60%,80%,80%
scenario 259,74%,70,60%,90%,80%
scenario 260,74%,71,60%,100%,80%
scenario 261,73%,75,60%,150%,80%
scenario 262,73%,77,60%,200%,80%
scenario 263,72%,79,60%,250%,80%
scenario 264,72%,81,60%,300%,80%
scenario 272,91%,45,60%,0%,60%
scenario 273,86%,49,60%,10%,60%
scenario 274,82%,53,60%,20%,60%
scenario 275,79%,56,60%,30%,60%
scenario 276,78%,59,60%,40%,60%
scenario 277,76%,61,60%,50%,60%
scenario 278,75%,63,60%,60%,60%
scenario 279,74%,65,60%,70%,60%
scenario 280,74%,66,60%,80%,60%
scenario 281,73%,68,60%,90%,60%
scenario 282,73%,69,60%,100%,60%
scenario 283,72%,74,60%,150%,60%
scenario 284,72%,77,60%,200%,60%
scenario 285,72%,79,60%,250%,60%
scenario 286,71%,80,60%,300%,60%
scenario 294,82%,33,60%,0%,40%
scenario 295,79%,39,60%,10%,40%
scenario 296,77%,45,60%,20%,40%
scenario 297,76%,49,60%,30%,40%
scenario 298,75%,53,60%,40%,40%
scenario 299,74%,56,60%,50%,40%
scenario 300,73%,59,60%,60%,40%
scenario 301,73%,61,60%,70%,40%
scenario 302,73%,63,60%,80%,40%
scenario 303,73%,65,60%,90%,40%
scenario 304,72%,66,60%,100%,40%
scenario 305,72%,72,60%,150%,40%
scenario 306,72%,75,60%,200%,40%
scenario 307,72%,78,60%,250%,40%
scenario 308,71%,79,60%,300%,40%
scenario 316,77%,18,60%,0%,20%
scenario 317,76%,26,60%,10%,20%
scenario 318,75%,33,60%,20%,20%
scenario 319,74%,39,60%,30%,20%
scenario 320,73%,45,60%,40%,20%
scenario 321,73%,49,60%,50%,20%
scenario 322,73%,53,60%,60%,20%
scenario 323,73%,56,60%,70%,20%
scenario 324,72%,59,60%,80%,20%
scenario 325,72%,61,60%,90%,20%
scenario 326,72%,63,60%,100%,20%
scenario 327,72%,70,60%,150%,20%
scenario 328,72%,74,60%,200%,20%
scenario 329,72%,77,60%,250%,20%
scenario 330,71%,79,60%,300%,20%
scenario 338,96%,51,80%,0,100%
scenario 339,96%,53,80%,10%,100%
scenario 340,95%,56,80%,20%,100%
scenario 341,94%,58,80%,30%,100%
scenario 342,94%,60,80%,40%,100%
scenario 343,92%,61,80%,50%,100%
scenario 344,88%,63,80%,60%,100%
scenario 345,86%,64,80%,70%,100%
scenario 346,84%,66,80%,80%,100%
scenario 347,83%,67,80%,90%,100%
scenario 348,81%,68,80%,100%,100%
scenario 349,80%,72,80%,150%,100%
scenario 350,80%,75,80%,200%,100%
scenario 351,80%,77,80%,250%,100%
scenario 352,79%,78,80%,300%,100%
scenario 360,96%,45,80%,0,80%
scenario 361,95%,48,80%,10%,80%
scenario 362,94%,51,80%,20%,80%
scenario 363,94%,53,80%,30%,80%
scenario 364,92%,56,80%,40%,80%
scenario 365,88%,58,80%,50%,80%
scenario 366,86%,60,80%,60%,80%
scenario 367,84%,61,80%,70%,80%
scenario 368,83%,63,80%,80%,80%
scenario 369,81%,64,80%,90%,80%
scenario 370,80%,66,80%,100%,80%
scenario 371,80%,70,80%,150%,80%
scenario 372,80%,74,80%,200%,80%
scenario 373,79%,76,80%,250%,80%
scenario 374,79%,78,80%,300%,80%
scenario 382,94%,36,80%,0,60%
scenario 383,92%,41,80%,10%,60%
scenario 384,88%,45,80%,20%,60%
scenario 385,86%,48,80%,30%,60%
scenario 386,84%,51,80%,40%,60%
scenario 387,83%,53,80%,50%,60%
scenario 388,81%,56,80%,60%,60%
scenario 389,80%,58,80%,70%,60%
scenario 390,80%,60,80%,80%,60%
scenario 391,80%,61,80%,90%,60%
scenario 392,79%,63,80%,100%,60%
scenario 393,79%,69,80%,150%,60%
scenario 394,78%,72,80%,200%,60%
scenario 395,78%,75,80%,250%,60%
scenario 396,78%,77,80%,300%,60%
scenario 404,92%,26,80%,0,40%
scenario 405,88%,32,80%,10%,40%
scenario 406,86%,36,80%,20%,40%
scenario 407,84%,41,80%,30%,40%
scenario 408,83%,45,80%,40%,40%
scenario 409,81%,48,80%,50%,40%
scenario 410,80%,51,80%,60%,40%
scenario 411,80%,53,80%,70%,40%
scenario 412,80%,56,80%,80%,40%
scenario 413,79%,58,80%,90%,40%
scenario 414,79%,60,80%,100%,40%
scenario 415,78%,67,80%,150%,40%
scenario 416,78%,71,80%,200%,40%
scenario 417,78%,74,80%,250%,40%
scenario 418,78%,76,80%,300%,40%
scenario 426,86%,14,80%,0,20%
scenario 427,84%,20,80%,10%,20%
scenario 428,83%,26,80%,20%,20%
